etnonimo_id,etnonimo
1,Luango
2,Loango
3,Mozambique
4,Angola
5,Bran
6,Arara
7,Biafara
8,Cabo Verde
9,Congo
10,Lucumí
11,Mandinga
12,Anchico
13,Nalu
14,Tierra De Los Ríos
15,Mina De Sao Tomé
16,Terranova
17,India De Portugal
18,Banguela
19,Bañon
20,Sao Tomé
21,Mina
22,Carabalí
23,Ajano Popu
24,Manguela
25,Bungi
26,Guinea
27,Malabar
28,Bengala
29,Corumbi
30,India
31,Cafre
32,Mina De Portugal
33,Joja
34,Malenba
35,Tierra Nova
36,Malembo
37,Tierra Pinu
38,Bajoho
39,Matamba
40,Jojo
41,Casta Cafre De Pasa
42,Santo Tome
43,Caramandi
44,Xofa
45,Malemba
46,Banol
47,Aida
48,Tierra De Moros
49,Casta Camocón
50,Reinos De España
51,Ciudad De Los Ángeles
