corporacion_idno,nombre_institucion,nombres_alternativos,tipo_institucion,lugar_corporacion_id,personas_asociadas,documentos,notas
mx-sv-cor-000032,Hacienda Jesuita de Santa Catarina Mártir,,Ciudad,364,,mx-sv-doc-003284,
mx-sv-cor-000001,Convento de Religiosos de Nuestra Señora de Belén,,Convento,,mx-sv-per-000105,mx-sv-doc-000023,
mx-sv-cor-000002,Convento de San Cosme y San Damián,,Convento,,,mx-sv-doc-000201,
mx-sv-cor-000003,Colegio del Espíritu Santo,"Colegio del Espíritu Santo, de la Compañía de Jesús de Puebla",Colegio,,mx-sv-per-001933,mx-sv-doc-000593|mx-sv-doc-000528|mx-sv-doc-000585,"El Colegio del Espíritu Santo es descrito como un colegio jesuita.

En caso Notaría 3, Escrituras de Juan Guerra, Caja 75, f. 1079r, Antonio Cuello tiene por oficio padre procurador del colegio jesuita."
mx-sv-cor-000004,Colegio de la Compañia de Jesus,,Colegio,,,mx-sv-doc-002916|mx-sv-doc-002823|mx-sv-doc-002822|mx-sv-doc-002780|mx-sv-doc-000753|mx-sv-doc-000542,
mx-sv-cor-000005,Monasterio de Religiosa de Nuestra Señora Concepción,,Convento,,,mx-sv-doc-000558,
mx-sv-cor-000006,Convento de Santo Domingo,,Convento,1,,mx-sv-doc-002906|mx-sv-doc-002894|mx-sv-doc-002815|mx-sv-doc-000572,
mx-sv-cor-000007,Convento de San Agustín,Convento de San Agustín de Puebla,Convento,,mx-sv-per-001748,mx-sv-doc-000534|mx-sv-doc-000575,
mx-sv-cor-000008,Hospital de San Miguel de Belén de Guadalajara,,Hospital,,,mx-sv-doc-003049|mx-sv-doc-003030|mx-sv-doc-002924|mx-sv-doc-000653,
mx-sv-cor-000009,Convento de San Agustin de Antequera,Convento de San Agustin,Convento,,,mx-sv-doc-000862|mx-sv-doc-000677,
mx-sv-cor-000010,Convento de San Agustín de Guadalajara,,Convento,,,mx-sv-doc-003427|mx-sv-doc-001428|mx-sv-doc-001427|mx-sv-doc-000946,
mx-sv-cor-000011,Convento de Jesús María,Convento de Jesús María en Puebla.,Convento,,mx-sv-per-000158,mx-sv-doc-000036,Pedro de Urbina fue mayordomo de el Convento de Jesús María.
mx-sv-cor-000012,Deán y Cabildo de Guadalajara,,Cabildo,,,mx-sv-doc-001485|mx-sv-doc-001048,
mx-sv-cor-000013,Hacienda del Convento de San Agustín de Guadalajara,,Convento,,mx-sv-per-003396,mx-sv-doc-001130,
mx-sv-cor-000014,Convento de San Francisco de Guadalajara,,Convento,,mx-sv-per-002846,mx-sv-doc-003371|mx-sv-doc-001267|mx-sv-doc-001229|mx-sv-doc-001158,
mx-sv-cor-000016,Convento de Nuestra Señora de la Merced de Guadalajara,,Convento,,,mx-sv-doc-001487,
mx-sv-cor-000017,Convento y Hospital de San Juan de Dios de Guadalajara,,Convento,,,mx-sv-doc-001492,
mx-sv-cor-000018,Convento de San Francisco de la Santa Cruz de la ciudad de Querétaro,,Convento,,,mx-sv-doc-002247,
mx-sv-cor-000019,San Francisco de X,,Convento,,,mx-sv-doc-002308,
mx-sv-cor-000020,Convento de San Francisco,,Convento,,,mx-sv-doc-002359,Institución a la que Toribio de Casso debía los 440 pesos 6 reales.
mx-sv-cor-000021,Santa Iglesia Catedral de Guadalajara,,Parroquia,,,mx-sv-doc-002393,Juan Delgadillo se vende con el fin de pagar una deuda que tenía el difunto con la Santa Iglesia Catedral de Guadalajara.
mx-sv-cor-000022,Convento de Santo Domingo de Guadalajara,,Convento,,,mx-sv-doc-002427,
mx-sv-cor-000024,Cofradía de Jesús Nazareno,,Cofradía,,mx-sv-per-007366,mx-sv-doc-002650,
mx-sv-cor-000025,Convento de la Encarnación de Nuestra Señora de la Marced Redención de Cautivos,Convento de la Encarnación de Nuestra Señora de la Marced Redención de Cautivos de la villa de Aguascalientes.,Convento,,mx-sv-per-007381,mx-sv-doc-002656,
mx-sv-cor-000026,El Convento de Santa María de Gracia de Guadalajara,,Convento,86,,mx-sv-doc-003308|mx-sv-doc-002729,
mx-sv-cor-000027,Monasterio de Santa Catalina de Sena,,Convento,3,,mx-sv-doc-002908|mx-sv-doc-002825|mx-sv-doc-002765,
mx-sv-cor-000028,Cofradía de Nuestra Señora de la Soledad,,Cofradía,1,,mx-sv-doc-002805,
mx-sv-cor-000029,Hospital Real de los señores San Cosme y San Damian,,Hospital,1,,mx-sv-doc-002876|mx-sv-doc-002860|mx-sv-doc-002843,
mx-sv-cor-000030,Monasterio de Religiosas Regina Celi,,Monasterio,1,,mx-sv-doc-002873,
mx-sv-cor-000031,Convento de Religiosos del Convento de San Francisco,,Convento,1,,mx-sv-doc-002874,
mx-sv-cor-000015,Colegio de Santo Tomás de Aquino de Guadalajara,,Colegio,,,mx-sv-doc-003212|mx-sv-doc-003211|mx-sv-doc-003210|mx-sv-doc-003167|mx-sv-doc-002981|mx-sv-doc-002957|mx-sv-doc-002959|mx-sv-doc-002958|mx-sv-doc-002956|mx-sv-doc-002955|mx-sv-doc-002951|mx-sv-doc-003165|mx-sv-doc-001279,
